"Sl.No","Test ID","Test Name","Objective / Description","Category"
"1","TEST_BRINGUP_INIT_001","single_clock_domain_reset_bringup","Verify that with PCLK tied to HCLK in a single clock domain, the bridge initializes to the documented clean idle reset state.","Bring-Up / Init"
"2","TEST_BRINGUP_INIT_002","pclk_hclk_edge_alignment_check","Verify that PCLK is edge-aligned to HCLK throughout bringup so no clock-domain-crossing behavior is exercised.","Bring-Up / Init"
"3","TEST_BRINGUP_INIT_003","single_domain_reset_then_immediate_reuse","Verify the bridge in single-clock-domain config returns to idle on reset and accepts a new transfer immediately afterward.","Bring-Up / Init"
"4","TEST_BRINGUP_INIT_004","single_clock_domain_no_cdc_assumption","Verify that bringup operates under one clock domain only and no CDC handling (synchronizers, async resets) is exercised.","Bring-Up / Init"
"5","TEST_CONNECTIVITY_001","source_address_bus_connectivity","Verify the HADDR address bus is fully connected by driving minimum and maximum address values and confirming the bridge captures and translates them onto PADDR.","Connectivity"
"6","TEST_CONNECTIVITY_002","source_write_data_bus_connectivity","Verify the HWDATA write data bus is fully connected by driving walking/boundary patterns and confirming they appear on PWDATA.","Connectivity"
"7","TEST_CONNECTIVITY_003","source_read_data_loopback_verify","Verify a write followed by a read returns matching data through HRDATA, confirming read-data bus connectivity and write/read correspondence.","Connectivity"
"8","TEST_CONNECTIVITY_004","source_clock_connectivity","Verify HCLK is connected and that all state progression and signal captures occur synchronously on HCLK rising edges.","Connectivity"
"9","TEST_CONNECTIVITY_005","source_reset_connectivity","Verify HRESETn is connected by asserting reset and confirming all source-side and peripheral-side outputs assume their documented reset values.","Connectivity"
"10","TEST_CONNECTIVITY_006","paddr_address_bus_connectivity","Verify PADDR drives both minimum and maximum address values correctly through the peripheral-side interface.","Connectivity"
"11","TEST_CONNECTIVITY_007","pwdata_data_bus_connectivity","Verify PWDATA correctly carries walking/boundary data patterns from source to peripheral side.","Connectivity"
"12","TEST_CONNECTIVITY_008","prdata_read_path_connectivity","Verify peripheral read data on PRDATA is correctly returned and read-back matches the value placed on PRDATA.","Connectivity"
"13","TEST_CONNECTIVITY_009","pclk_clock_connectivity","Verify peripheral-side phase progression (SETUP->ACTIVE) advances only on PCLK rising edges.","Connectivity"
"14","TEST_CONNECTIVITY_010","presetn_reset_connectivity","Verify PRESETn forces peripheral outputs to their defined reset values and the interface recovers after deassertion.","Connectivity"
"15","TEST_RESET_001","soft_reset_clears_active_transfer_state","Verify that asserting SOFT_RST while a transfer is active clears active transfer state and returns the model to a clean idle state.","Reset"
"16","TEST_RESET_002","soft_reset_clears_sticky_status_flags","Verify SOFT_RST clears sticky STATUS error flags that were set by error scenarios.","Reset"
"17","TEST_RESET_003","soft_reset_preserves_basic_configuration","Verify SOFT_RST preserves configuration bits (TIMEOUT_VAL, TIMEOUT_EN, ENABLE) while clearing transient/sticky state.","Reset"
"18","TEST_RESET_004","soft_reset_vs_hard_reset_value_comparison","Verify the distinction between SOFT_RST behavior (preserves config) and full HRESETn hard reset (restores all defaults including CTRL).","Reset"
"19","TEST_RESET_005","hard_reset_during_idle_register_defaults","Verify that asserting hard reset while the bridge is idle returns all outputs and registers to their documented reset values.","Reset"
"20","TEST_RESET_006","hard_reset_during_active_transfer_abort","Verify that asserting hard reset while a transfer is in the ACTIVE/WAITING phase aborts the transfer cleanly and restores all reset values.","Reset"
"21","TEST_RESET_007","hard_reset_clears_sticky_error_state","Verify that hard reset clears sticky STATUS error bits (ERR_INT, TIMEOUT_ERR, PSLVERR, ADDR_ERR) and captured debug registers ERROR_ADDR/ERROR_INFO.","Reset"
"22","TEST_RESET_008","hard_reset_immediate_reuse_after_release","Verify the bridge is immediately ready to accept and complete a new transfer on the first cycle after reset release, with all registers at reset values.","Reset"
"23","TEST_REGISTER_ACCESS_001","status_reset_value_check","Verify STATUS register reflects its specified reset state with READY asserted and no sticky errors set.","Register Access"
"24","TEST_REGISTER_ACCESS_002","status_sticky_error_set_on_target_error","Verify PSLVERR and aggregated ERR_INT sticky bits in STATUS are set and preserved after a target error event.","Register Access"
"25","TEST_REGISTER_ACCESS_003","status_w1c_clear_semantics","Verify Write-1-to-Clear behavior: a 1 in the written bit clears the corresponding sticky flag while 0 leaves others untouched.","Register Access"
"26","TEST_REGISTER_ACCESS_004","status_readonly_busy_ready_behavior","Verify BUSY/READY reflect live model state and are immune to software writes.","Register Access"
"27","TEST_REGISTER_ACCESS_005","ctrl_reg_reset_value_check","Verify the CTRL register powers up to its specified reset value with ENABLE set and TIMEOUT_VAL=3'b111.","Register Access"
"28","TEST_REGISTER_ACCESS_006","ctrl_reg_rw_field_writeback","Verify R/W fields in CTRL accept programmed values and read back correctly.","Register Access"
"29","TEST_REGISTER_ACCESS_007","ctrl_soft_rst_self_clearing_action","Verify SOFT_RST bit write triggers a soft reset that clears sticky STATUS flags and preserves CTRL config bits.","Register Access"
"30","TEST_REGISTER_ACCESS_008","ctrl_reserved_bits_readonly_check","Verify CTRL reserved bits remain 0 and are not affected by attempted writes of all-ones.","Register Access"
"31","TEST_REGISTER_ACCESS_009","error_addr_capture_on_addr_error","Verify ERROR_ADDR captures the source-side address of an address-error transaction.","Register Access"
"32","TEST_REGISTER_ACCESS_010","error_info_context_capture","Verify ERROR_INFO captures direction/beat/error-class context for a target-side (PSLVERR) error.","Register Access"
"33","TEST_REGISTER_ACCESS_011","debug_regs_reset_values","Verify both captured debug registers clear to 0x0000_0000 on hard reset.","Register Access"
"34","TEST_REGISTER_ACCESS_012","debug_regs_read_only_write_ignored","Verify attempted APB writes to ERROR_ADDR/ERROR_INFO have no effect on stored value.","Register Access"
"35","TEST_REGISTER_ACCESS_013","error_addr_overwrite_most_recent","Verify a subsequent error overwrites the previously captured ERROR_ADDR.","Register Access"
"36","TEST_REGISTER_ACCESS_014","ctrl_register_reset_and_rw","Verify CTRL reset value and read/write behavior of writable bits via the peripheral-side register access path.","Register Access"
"37","TEST_REGISTER_ACCESS_015","status_register_reset_and_w1c","Verify STATUS reset value and write-1-to-clear semantics on sticky error bits while RO bits are unaffected.","Register Access"
"38","TEST_REGISTER_ACCESS_016","error_addr_error_info_readonly","Verify RO debug registers reset to 0, capture error context on an error event, and reject write attempts.","Register Access"
"39","TEST_REGISTER_ACCESS_017","register_map_offset_decode","Verify each defined offset decodes to the correct register and that the 4-byte stride mapping is correct.","Register Access"
"40","TEST_MAIN_DATAPATH_001","single_transfer_baseline_write","Verify a single (non-sequence) HTRANS=NONSEQ write transfer with HSIZE=word advances address correctly and completes as one target access (sequence baseline).","Main Datapath"
"41","TEST_MAIN_DATAPATH_002","sequential_burst_address_increment_word","Verify an incrementing multi-transfer sequence (NONSEQ then SEQ) with HSIZE=word produces target addresses advancing by 0x4 per beat, handled in-order.","Main Datapath"
"42","TEST_MAIN_DATAPATH_003","sequential_burst_increment_halfword_size","Verify HSIZE-dependent address stride: a SEQ sequence with HSIZE=halfword advances target PADDR by 0x2 per beat, distinct from the word case.","Main Datapath"
"43","TEST_MAIN_DATAPATH_004","in_order_sequence_data_integrity","Verify multi-transfer sequence data integrity by writing distinct patterns (all 1s, all 0s, alternating) then reading back and comparing, confirming in-order handling.","Main Datapath"
"44","TEST_MAIN_DATAPATH_005","basic_write_translation","Verify a single source-side write (HADDR/HWDATA) is correctly captured and translated to a target-side write access (PADDR/PWDATA) following the capture->setup->active->complete sequence.","Main Datapath"
"45","TEST_MAIN_DATAPATH_006","basic_read_translation_and_verify","Verify a source-side read translates to a target-side read access and that HRDATA reflects PRDATA only after target completion.","Main Datapath"
"46","TEST_MAIN_DATAPATH_007","data_pattern_integrity","Verify data integrity across translation for all-ones, all-zeros, and alternating bit patterns on 32-bit HWDATA/PWDATA.","Main Datapath"
"47","TEST_MAIN_DATAPATH_008","address_range_translation","Verify address translation integrity at low, mid, and high 32-bit address boundaries.","Main Datapath"
"48","TEST_MAIN_DATAPATH_009","phase_progression_setup_to_active","Verify the strict two-phase target-side progression (setup then active) and that PENABLE is never asserted in the same cycle as the initial PSEL assertion.","Main Datapath"
"49","TEST_MAIN_DATAPATH_010","single_wait_state_delays_completion","Verify that a single PREADY=0 wait state holds the APB transfer in the ACTIVE phase and delays HREADY_OUT to the source side.","Main Datapath"
"50","TEST_MAIN_DATAPATH_011","multi_wait_state_read_data_gating","Verify that during a multi-cycle PREADY=0 stall on a read, HREADY_OUT stays low and HRDATA is presented only at the cycle PREADY=1.","Main Datapath"
"51","TEST_MAIN_DATAPATH_012","back_to_back_writes_with_stall_data_patterns","Verify data integrity (all 1s, all 0s, alternating) survives PREADY back-pressure on consecutive writes and PWDATA is held stable during each stall.","Main Datapath"
"52","TEST_MAIN_DATAPATH_013","timeout_during_persistent_stall","Verify that persistent PREADY=0 with timeout enabled eventually terminates the held transfer and sets STATUS.TIMEOUT_ERR, while HREADY_OUT remains low until the timeout fires.","Main Datapath"
"53","TEST_MAIN_DATAPATH_014","basic_single_read_data_return","Verify a single read transfer returns PRDATA on HRDATA only after the target-side active phase completes (PREADY=1).","Main Datapath"
"54","TEST_MAIN_DATAPATH_015","read_data_blocked_until_target_completion","Verify HRDATA is NOT returned and source completion is gated while target is stalled (PREADY=0), then returns correct data once PREADY asserts.","Main Datapath"
"55","TEST_MAIN_DATAPATH_016","read_data_patterns_integrity","Verify the read-data return path preserves data integrity for all-1s, all-0s, and alternating bit patterns from PRDATA to HRDATA.","Main Datapath"
"56","TEST_MAIN_DATAPATH_017","read_data_address_range_correlation","Verify read data returned on HRDATA correlates with the correct target address across the 32-bit address range (low, mid, high).","Main Datapath"
"57","TEST_MAIN_DATAPATH_018","read_data_not_returned_on_target_error","Verify that when target signals PSLVERR=1, HRESP=1 (error) is returned and the read-data return path reflects the error rather than valid data delivery.","Main Datapath"
"58","TEST_PROTOCOL_001","source_capture_to_target_setup_progression","Verify that an accepted source-side request is captured and translated into a target-side SETUP phase with correct PSEL/PENABLE signaling and timing.","Protocol"
"59","TEST_PROTOCOL_002","target_active_completion_handshake","Verify the target active phase completes correctly when PREADY asserts and source-side completion (HREADY_OUT) is then released.","Protocol"
"60","TEST_PROTOCOL_003","wait_state_signal_stability_during_target_stall","Verify that during a target stall the ACTIVE phase signals remain stable and HREADY_OUT stays low until PREADY asserts.","Protocol"
"61","TEST_PROTOCOL_004","read_data_returned_only_after_target_completion","Verify on a read transfer that HRDATA is not presented to the source until target completion (PREADY=1) occurs in the active phase.","Protocol"
"62","TEST_PROTOCOL_005","wait_state_basic_delayed_completion","Verify that a single target stall (PREADY=0) holds PENABLE asserted and delays HREADY_OUT until PREADY=1.","Protocol"
"63","TEST_PROTOCOL_006","wait_state_signal_stability_multi_wait","Verify PSEL, PENABLE, PADDR remain stable and HREADY_OUT remains deasserted across several consecutive PREADY=0 wait cycles.","Protocol"
"64","TEST_PROTOCOL_007","wait_state_read_data_after_completion","Verify that HRDATA is not presented as valid until PREADY=1 completes the target access, and HREADY_OUT gating matches.","Protocol"
"65","TEST_PROTOCOL_008","wait_state_back_to_back_after_stall","Verify the bridge correctly releases back-pressure after a stalled transfer and accepts a new transfer with proper PSEL/PENABLE sequencing.","Protocol"
"66","TEST_PROTOCOL_009","fsm_idle_to_setup_on_accepted_request","Verify the IDLE-to-SETUP transition asserts PSEL with PENABLE deasserted on the first target-side cycle.","Protocol"
"67","TEST_PROTOCOL_010","fsm_setup_to_active_advance","Verify the SETUP-to-ACTIVE transition asserts PENABLE while keeping PSEL high.","Protocol"
"68","TEST_PROTOCOL_011","fsm_active_stall_self_loop","Verify ACTIVE self-loop on PREADY=0 and stability of PSEL/PENABLE during wait states.","Protocol"
"69","TEST_PROTOCOL_012","fsm_active_to_idle_completion","Verify handshake completion (PREADY=1) returns FSM to IDLE and deasserts PSEL/PENABLE.","Protocol"
"70","TEST_PROTOCOL_013","fsm_full_cycle_setup_stall_active_complete","Verify the complete state-machine sequence with correct PSEL/PENABLE/PREADY timing across all phases.","Protocol"
"71","TEST_PROTOCOL_014","hresp_ok_on_successful_write_transfer","Verify HRESP=0 (OK) is asserted on the source side at completion of a normal write transfer with no target error.","Protocol"
"72","TEST_PROTOCOL_015","hresp_error_on_target_pslverr","Verify HRESP=1 (error) is driven on the source side when PSLVERR=1 is asserted during the target active phase.","Protocol"
"73","TEST_PROTOCOL_016","hresp_error_on_timeout","Verify HRESP=1 (error) on the source side when a target timeout occurs (PREADY never asserted within window).","Protocol"
"74","TEST_PROTOCOL_017","hresp_ok_stable_during_wait_states","Verify HRESP remains 0 (no premature/spurious error) throughout target wait states and resolves to OK at completion when PREADY finally asserts without error.","Protocol"
"75","TEST_ERROR_001","addr_error_basic_detection_capture","Verify that a request to an invalid address range sets ADDR_ERR, returns HRESP error, captures ERROR_ADDR, and that the model recovers cleanly and shows a clean error log after recovery.","Error Handling"
"76","TEST_ERROR_002","addr_error_boundary_just_outside_valid_range","Verify that the first address immediately above the highest valid range triggers ADDR_ERR while the last valid address does not, and that ERROR_ADDR captures the exact boundary-violating address.","Error Handling"
"77","TEST_ERROR_003","addr_error_read_direction_context_capture","Verify that an invalid-address READ transaction is detected, ERROR_ADDR captures the read address, ERROR_INFO captures read direction, and HRDATA is not treated as valid data.","Error Handling"
"78","TEST_ERROR_004","addr_error_during_active_transfer_with_reset_recovery","Verify address error detection on a request following a valid in-flight transfer, then verify hard/soft reset cleanly aborts and clears sticky ADDR_ERR and captured debug registers.","Error Handling"
"79","TEST_ERROR_005","timeout_error_basic_detection","Verify a timeout error is detected, captured in STATUS, and logged when PREADY is never asserted within the programmed window.","Error Handling"
"80","TEST_ERROR_006","timeout_disabled_no_error","Verify that with TIMEOUT_EN=0 a prolonged PREADY=0 stall does not set TIMEOUT_ERR or HRESP, but instead holds completion (negative/control test).","Error Handling"
"81","TEST_ERROR_007","timeout_error_with_interrupt","Verify timeout error sets both TIMEOUT_ERR and aggregated ERR_INT when interrupt indication is enabled, captures debug context, and both clear via W1C.","Error Handling"
"82","TEST_ERROR_008","timeout_window_boundary","Verify the timeout window boundary: just-in-time PREADY completes without error, while one-cycle-late PREADY triggers TIMEOUT_ERR.","Error Handling"
"83","TEST_ERROR_009","target_error_basic_pslverr_capture","Verify a single target-side error (PSLVERR=1) during an active access is detected, propagated to HRESP, captured in ERROR_INFO/STATUS, and the model recovers cleanly with clean error log after recovery.","Error Handling"
"84","TEST_ERROR_010","target_error_during_read_access","Verify target error injected on a read transfer is captured with read direction in ERROR_INFO, HRDATA is not treated as valid completion, and recovery restores clean operation.","Error Handling"
"85","TEST_ERROR_011","target_error_sticky_persistence_no_clear","Verify the sticky behavior of STATUS.PSLVERR after a target error — flag persists across subsequent good (non-error) traffic and is only removed by W1C/soft reset.","Error Handling"
"86","TEST_ERROR_012","target_error_mid_sequence_active_phase","Verify target error injected on a specific beat of an ordered multi-transfer sequence is captured with beat index/context in ERROR_INFO and that error capture does not corrupt earlier completed beats.","Error Handling"
